"cliente_nome","tipo_transacao_nome","tipo_transacao_valor"
"Heriberto Murtinho","Débito",182.68
"Lúcio Villégas","Débito",183.37
"Balduíno Grilo","Débito",183.77
"Daniela Rijo","Débito",185.93
"Gregório Pimienta","Débito",188.28
"Amandio Castillo","Débito",189.51
"Romano Mena","Débito",190.16
"Diogo Ramírez","Débito",190.39
"Alda Benavides","Débito",192.07
"Adriano Cambezes","Débito",192.53
"Rebeca Pérez","Débito",193.33
"Gonçalo Jesus","Débito",194.98
"Borrás Monsanto","Débito",195.72
"Melinda Carvalhal","Débito",195.82
"Jaci Pirassununga","Débito",196.69
"Eudes Matos","Débito",196.69
"Liana Espartero","Débito",197.78
"Juçara Cabeça de Vaca","Débito",198.08
"Flor Leite","Débito",198.59
"Estêvão Mattos","Débito",198.99
"Adélia Viana","Débito",199.66
"Hugo Arouca","Débito",200.42
"Maíra Canário","Débito",201.09
"Hermenegildo Sosa","Débito",201.33
"Márcia Caneira","Débito",201.53
"Valério Cordeiro","Débito",201.65
"Diamantino Becerril","Débito",202.57
"Simone Nobre","Débito",203.42
"Mariana Albuquerque","Débito",204.79
"Leonel Rúa","Débito",205.86
"Fausto Losada","Débito",205.98
"Guadalupe Albernaz","Débito",206.00
"Leonel Rúa","Débito",206.30
"Denise Bogalho","Débito",207.02
"Brígida Portella","Débito",207.18
"Gisela Azenha","Débito",209.14
"Godinho ou Godim Felgueiras","Débito",209.33
"Belmifer Ferrón","Débito",210.08
"Alexandre Carneiro","Débito",211.27
"Xavier Ornellas","Débito",211.66
"Alarico Tibiriçá","Débito",213.58
"Diógenes Pimienta","Débito",213.75
"Diógenes Pimienta","Débito",214.52
"Ivete Pardo","Débito",215.63
"Gabriel Raminhos","Débito",216.18
"Hugo Arouca","Débito",216.67
"Anita Alcaide","Débito",216.79
"Romano Mena","Débito",217.17
"Aniano Núñez","Débito",217.52
"Noel Cipriano","Débito",218.57
"Quintilien Robalo","Débito",218.83
"Alarico Tibiriçá","Débito",218.83
"Poliana Flores","Débito",218.97
"Heriberto Murtinho","Débito",222.23
"Gonçalo Jesus","Débito",222.74
"Emílio Macena","Débito",222.75
"Palmira Neiva","Débito",227.04
"Alzira Mesquita","Débito",228.55
"Potira Macena","Débito",229.03
"Godinho ou Godim Felgueiras","Débito",230.83
"Bernardina Moita","Débito",231.89
"Armando Valle","Débito",232.87
"Zubaida Barreto","Débito",235.73
"Edgar Gallindo","Débito",235.78
"Quirina Colares","Débito",235.99
"Hugo Godói","Débito",236.54
"Gonçalo García","Débito",236.63
"Clementina Alvim","Débito",236.95
"Alceste Felgueiras","Débito",237.52
"Almor Camello","Débito",238.49
"Guida Teodoro","Débito",239.09
"Luísa Gonçalves","Débito",242.72
"Eudes Matos","Débito",242.79
"Tibúrcio Soeiro","Débito",243.65
"Hernâni Bethancout","Débito",244.02
"João Rebello","Débito",244.69
"Quitério Galvão","Débito",247.08
"Ítala Collares","Débito",247.16
"Polibe Rios","Débito",247.89
"Ubirajara Siqueira","Débito",248.17
"Políbio Campelo","Débito",249.30
"Caím Quintão","Débito",251.41
"Dirceu Peláez","Débito",252.37
"Laurinda Ferraço","Débito",255.16
"Diógenes Novaes","Débito",257.22
"Leônidas   Brandán","Débito",257.24
"Aurélia Foquiço","Débito",257.74
"Célia Rufino","Débito",257.81
"Patrícia Meira","Débito",260.29
"Augusto Ramires","Débito",261.43
"Clementina Gabeira","Débito",261.82
"Angélico Aragón","Débito",261.92
"Marcos Simas","Débito",262.70
"Flamínia Valentín","Débito",263.05
"Adelaide Ruela","Débito",263.66
"Juliano Rodrigues","Débito",264.88
"Natacha Vásquez","Débito",265.99
"Carine Beserril","Débito",266.94
"Silvério Bento","Débito",268.00
"Valdeci Figueiró","Débito",268.16
"Collin Capucho","Débito",268.18
"Natividade Maior","Débito",268.63
"Ildefonso Castellano","Débito",268.91
"Célia Guerreiro","Débito",270.19
"Gláucia Salguero","Crédito",0.46
"Benedita Portugal","Crédito",0.57
"Augusto Ramires","Crédito",1.00
"Lúcio Rebouças","Crédito",2.22
"Adriano Cambezes","Crédito",7.81
"Morgana Ipiranga","Crédito",12.22
"Lavínia Peçanha","Crédito",13.12
"Célia Rufino","Crédito",13.34
"Lídia Assumpção","Crédito",16.09
"Esperança Quinterno","Crédito",16.69
"Lavínia Higuera","Crédito",17.58
"Minervina Castelão","Crédito",21.87
"Ovídio Azenha","Crédito",26.04
"Solano Alvim","Crédito",30.08
"Lúcio Villégas","Crédito",31.90
"Zuleica Larangeira","Crédito",33.91
"Salomão Carijó","Crédito",34.04
"Vitória Picanço","Crédito",34.20
"Danilo Caminha","Crédito",34.37
"Rufus Fróis","Crédito",36.21
"Abigail Belém","Crédito",36.39
"Ximeno Valentín","Crédito",38.33
"Célia Alancastre","Crédito",40.44
"Catarino Boaventura","Crédito",43.37
"Antónia Cidreira","Crédito",44.47
"Maura Capanema","Crédito",45.27
"Hugo Silveira dos Açores","Crédito",45.56
"Nazaré Quintanilha","Crédito",46.91
"Américo Reis","Crédito",47.17
"Guida Teodoro","Crédito",47.21
"Miriam Tévez","Crédito",47.38
"Janaína Collares","Crédito",47.58
"Raquel Guzmán","Crédito",47.95
"Guiomar Vale","Crédito",49.08
"Collin Capucho","Crédito",50.13
"Aarão Valentín","Crédito",51.54
"Magali Nolasco","Crédito",52.28
"Ubiratã Marmou","Crédito",53.37
"Jaime Souto Maior","Crédito",57.09
"Arnaldo Estrela","Crédito",64.30
"Adélia Viana","Crédito",64.51
"Norberto Canadas","Crédito",64.69
"Virgínia Baptista","Crédito",65.65
"Mileide Marroquim","Crédito",65.78
"Lineu Abasto","Crédito",65.95
"Donato Lacerda","Crédito",66.30
"Leopoldina Varanda","Crédito",66.43
"Diamantino Becerril","Crédito",68.14
"Lázaro Veiga","Crédito",70.59
"Nídia Valerio","Crédito",70.83
"Inês Granjeiro","Crédito",71.70
"Eládio Ferrão","Crédito",72.12
"Davide Carneiro","Crédito",74.10
"Brígida Portella","Crédito",74.20
"Julieta Negromonte","Crédito",76.16
"Elvira Vidal","Crédito",77.10
"Ofélia Cerveira","Crédito",78.48
"Jerónimo, Jerônimo Cantanhede","Crédito",78.74
"Ubirajara Siqueira","Crédito",80.36
"Cesário Brião","Crédito",80.42
"Laís Belchiorinho","Crédito",81.00
"Umbelina Neves","Crédito",81.68
"Palmiro Neres","Crédito",82.43
"Hermenegildo Sosa","Crédito",83.99
"Solano Castelão","Crédito",85.58
"Raquel Guzmán","Crédito",86.20
"Eva Collares","Crédito",86.98
"Quitéria Vilarim","Crédito",87.17
"Alarico Tibiriçá","Crédito",91.19
"Irene Mortágua","Crédito",91.23
"Roseli Salomão","Crédito",97.24
"Viriato Barata","Crédito",97.53
"Ginéculo Pinho","Crédito",97.64
"Deolindo Azeredo","Crédito",99.57
"Judá Villar","Crédito",99.92
"Milu Carvalheira","Crédito",104.13
"Eloi Casqueira","Crédito",104.18
"Mariano Albuquerque","Crédito",104.25
"Adosindo Suaçuna","Crédito",104.71
"Fábio Villaverde","Crédito",105.75
"Zita Caneira","Crédito",108.93
"Augusto Curado","Crédito",111.63
"Bernardo Guterres","Crédito",117.25
"Teresa Fiestas","Crédito",118.13
"Zulmira Toledo","Crédito",118.27
"Fabíola Belchior","Crédito",118.57
"Ximeno Holanda","Crédito",119.93
"Mário Malta","Crédito",120.32
"Milu Loureiro","Crédito",124.01
"Doroteia Souza","Crédito",125.58
"Eloi Casqueira","Crédito",128.18
"Emílio Macena","Crédito",128.75
"Gilda Franca","Crédito",131.84
"Tércio Quirós","Crédito",132.59
"Honório Sobreira","Crédito",138.80
"Nicolau Barcellos","Crédito",148.54
"Natacha Vásquez","Crédito",149.91
"Daniel Alcántara","Crédito",150.53
"Deise Graça","Crédito",151.18
"Palmiro Neres","Crédito",151.28
"Borrás Monsanto","Crédito",152.18
"Romão Collares","Crédito",158.57
"Marli Gusmão","Crédito",161.41
"Juliano Rodrigues","Crédito",161.62
"Suniário Souto","Crédito",163.77
"Susana Noguera","Crédito",167.23
"Romão Collares","Crédito",168.20
"Beatriz Pari","Crédito",169.82
"Elias Ipanema","Crédito",170.06
"Isidro Caminha","Crédito",170.27
"Quintiliano Vieyra","Crédito",175.09
"Quintino Tavares","Crédito",177.29
"Leonel Rúa","Crédito",178.48
"Aurélia Foquiço","Crédito",180.21
"Odete Carvajal","Crédito",182.72
"Timóteo Doutel","Crédito",194.07
"Mileide Semedo","Crédito",194.17
"Rudi Coelho","Crédito",194.95
"Hugo Arouca","Crédito",196.50
"Florêncio Palmeira","Crédito",197.27
"Honorina Lousado","Crédito",198.08
"Luciana Câmara","Crédito",198.86
"Domingas Canejo","Crédito",199.52
"Noel Cipriano","Crédito",199.79
"Carlos Cairu","Crédito",200.57
"Ludovico Carrasco","Crédito",201.27
"Raoni Thamily","Crédito",202.49
"João Rebello","Crédito",202.97
"Ramiro Viégas","Crédito",202.97
"Mafalda Tristão","Crédito",204.07
"Corina Uchoa","Crédito",204.72
"Óscar Antúnez","Crédito",207.96
"Eduardo Rua","Crédito",209.13
"Cauê Caetano","Crédito",211.45
"Ubiratã Camello","Crédito",225.48
"Gil Magalhães","Crédito",225.83
"Luísa Gonçalves","Crédito",225.89
"Milu Velásquez","Crédito",227.51
"Bernardina Moita","Crédito",228.68
"António Cysneiros","Crédito",237.19
"Salvador Dias","Crédito",237.21
"Lázaro Veiga","Crédito",237.34
"Clementina Alvim","Crédito",238.91
"Heloísa Pinhal","Crédito",241.62
"Belmifer Ferrón","Crédito",248.09
"Ximena Calheiros","Crédito",250.06
"Marli Morales","Crédito",253.15
"Diógenes Novaes","Crédito",257.94
"Anacleto Vilarim","Crédito",258.17
"Solano Alvim","Crédito",264.78
"Flor Castilhos","Crédito",266.28
"Pascoal Teles","Crédito",267.01
"Estefânia Macieira","Crédito",269.54
"Liana Espartero","Crédito",270.04
"Xavier Ornellas","Crédito",270.48
"Rosaura Caldas","Crédito",270.78
"Tomé Cezimbra","Crédito",271.75
"Lídia Meneses","Crédito",272.12
"Cleusa Rabello","Crédito",272.97
"Alcides Borba","Crédito",291.75
"Mileide Semedo","Crédito",292.10
"Ágata Carvalhaes","Crédito",292.10
"Potira Macena","Crédito",292.64
"Viridiana Thamily","Crédito",293.14
"Henriqueta Estévez","Crédito",293.61
"Amália Vilaça","Crédito",294.02
"Ismael Uchoa","Crédito",296.08
"Ricardina Fuentes","Crédito",298.20
"Guadalupe Albernaz","Crédito",301.17
"Polibe Rios","Crédito",301.41
"Márcia Carreiro","Crédito",303.53
"Nazaré Quintanilha","Crédito",307.94
"Guálter, Walter Cerqueira","Crédito",308.49
"Glauco Queirós","Crédito",310.60
"Emílio Barboza","Crédito",317.39
"Zacarias Varela","Crédito",317.99
"Adelaide Ruela","Crédito",321.64
"Lúcio Villégas","Crédito",323.73
"Palmiro Freitas","Crédito",324.00
"Roseli Bento","Crédito",329.85
"Cora Cavadas","Crédito",330.15
"Alexandre Lancastre","Crédito",330.30
"Lavínia Peçanha","Crédito",331.22
"Girão Grillo","Crédito",331.75
"Alberto Caneira","Crédito",337.74
"Gil Estrada","Crédito",337.77
"Ítalo Cysneiros","Crédito",337.95
"Josias Viégas","Crédito",340.00
"Maíra Canário","Crédito",343.81
"Esmeralda Froes","Crédito",345.62
"Ofélia Fróis","Crédito",347.57
"Flora Murtinho","Crédito",348.40
"Rúben Alvarenga","Crédito",348.65
"Zenaide Peçanha","Crédito",355.29
"Hermenegildo Saraiva","Crédito",356.70
"Piedade Cordeiro","Crédito",357.81
"Abraão Faro","Crédito",359.16
"Virgílio Igrejas","Crédito",359.73
"Heriberto Murtinho","Crédito",360.59
"Dália Villégas","Crédito",364.00
"Alda Benavides","Crédito",364.04
"Leonor Garcia","Crédito",365.17
"Nestor Castelbranco","Crédito",366.49
"Hugo Godói","Crédito",367.06
"Tobias Bacelar","Crédito",370.28
"Apoena Javier","Crédito",370.38
"Clara Lameira","Crédito",370.93
"Elvira Guimarães","Crédito",372.27
"Jaci Pirassununga","Crédito",373.10
"Armanda Malheiro","Crédito",374.34
"Fausto Losada","Crédito",374.72
"Gláuber Azenha","Crédito",375.86
"Eduardo Aguiar","Crédito",377.82
"Hélia Fortunato","Crédito",379.55
"Jacinto Galvão","Crédito",381.15
"Gisela Caiado","Crédito",387.44
"Olívia Goes","Crédito",389.20
"Manuela Morais","Crédito",391.49
"Tibúrcio Montero","Crédito",392.43
"Gabriela Sabala","Crédito",393.09
"Adélia Viana","Crédito",393.43
"Godinho ou Godim Felgueiras","Crédito",394.09
"Eliseu Rabello","Crédito",395.10
"Diogo Ramírez","Crédito",395.90
"Astolfo Viera","Crédito",396.36
"Alberta Amaro","Crédito",399.72
"Artur Portella","Crédito",400.33
"Palmira Foquiço","Crédito",406.13
"Bernardete Pequeno","Crédito",407.30
"Blasco Amorim","Crédito",408.57
"Flor Castilhos","Crédito",409.13
"Adélia Cezar","Crédito",409.25
"Delfim Fiestas","Crédito",412.73
"Joaquina Aragão","Crédito",416.25
"Delfim Varanda","Crédito",417.96
"Quintiliano Peláez","Crédito",419.53
"Francisco Henriques","Crédito",420.91
"Alceste Felgueiras","Crédito",421.69
"Cristiana Téllez","Crédito",427.41
"Glauco Vilas-Boas","Crédito",427.93
"Virgílio Igrejas","Crédito",428.64
"Rogério Carmona","Crédito",428.67
"Juçara Cabeça de Vaca","Crédito",429.11
"Quintilien Robalo","Crédito",429.23
"Gaudêncio Valim","Crédito",430.73
"Eduarda Corvelo","Crédito",433.80
"Teodorico Castelão","Crédito",434.82
"Carlos Cambezes","Crédito",436.46
"Isadora Blanco","Crédito",437.00
"Augusta Prada","Crédito",438.54
"Belchior Tomé","Crédito",438.66
"Borrás Monsanto","Crédito",439.59
"Leonel Rúa","Crédito",440.42
"Dorindo Faustino","Crédito",441.16
"Simone Nobre","Crédito",441.76
"Hugo Arouca","Crédito",443.20
"Alberta Araripe","Crédito",443.91
"Hernâni Bethancout","Crédito",451.13
"Gisela Azenha","Crédito",452.34
"Oscar   Fontoura","Crédito",460.81
"Renan Grande","Crédito",463.55
"Ítalo Caires","Crédito",463.85
"Manuela Carvalhosa","Crédito",463.89
"Flor Leite","Crédito",468.23
"Adriana Mantas","Crédito",469.51
"Caetano Gentil","Crédito",469.68
"Milu Loureiro","Crédito",471.38
"Melinda Carvalhal","Crédito",473.72
"Vanda Moita","Crédito",473.82
"Ifigénia Figueiredo","Crédito",476.10
"Andreia Villas Bôas","Crédito",478.32
"Iberê Siqueira","Crédito",480.54
"Xênia   Damazio","Crédito",482.03
"Luzia Rivas","Crédito",483.00
"Lázaro Veiga","Crédito",485.15
"Astolfo Telles","Crédito",486.29
"Alda Benavides","Crédito",488.48
"Deolindo Pinho","Crédito",491.90
"Clarisse Paula","Crédito",491.91
"Gonçalo Jesus","Crédito",492.16
"Rebeca Pérez","Crédito",496.12
"Filipe Quental","Crédito",496.90
"Joaquina Aragão","Crédito",499.72
"Sonás Ríos","Crédito",501.45
"Débora Quaresma","Crédito",503.02
"Eurico Santos","Crédito",503.18
"Sílvia Estrella","Crédito",505.43
"Moisés Jardim","Crédito",505.59
"Honório Sobreira","Crédito",507.11
"Manuel Souto","Crédito",510.07
"Fernanda Cantanhede","Crédito",514.03
"Belchior Gracia","Crédito",514.38
"Maíra Canário","Crédito",514.49
"Teodorico Nazário","Crédito",517.15
"Camila Orriça","Crédito",518.76
"Anacleto Vilarim","Crédito",518.79
"Vicente Quintela","Crédito",521.32
"Valdeci Figueiró","Crédito",523.55
"Tibúrcio Soeiro","Crédito",524.49
"Gaudêncio Diniz","Crédito",525.58
"Célia Guerreiro","Crédito",525.66
"Henriqueta Ignacio","Crédito",526.97
"Olga Blanco","Crédito",527.77
"Fausto Losada","Crédito",529.85
"Tália Guedelha","Crédito",537.96
"Júlia Quintela","Crédito",539.13
"Emílio Vega","Crédito",539.71
"Ítala Collares","Crédito",540.33
"Constantino Guimaraes","Crédito",540.54
"Clementina Gabeira","Crédito",540.74
"Godinho ou Godim Felgueiras","Crédito",544.19
"Gerson Portela","Crédito",545.03
"Gilda Franca","Crédito",545.38
"Frederica Freitas","Crédito",546.00
"Angélico Santana","Crédito",547.34
"Hermesinda Lisboa","Crédito",550.16
"Rosalinda Damazio","Crédito",552.11
"Gabriel Raminhos","Crédito",552.50
"Henrique Pinhal","Crédito",552.63
"Brás Beserra","Crédito",552.99
"Marcos Lemes","Crédito",553.51
"Mário Malta","Crédito",555.34
"Selma Rúa","Crédito",556.59
"Gabriela Anjos","Crédito",556.82
"Gonçalo García","Crédito",559.02
"Filena Blanco","Crédito",559.19
"Diógenes Pimienta","Crédito",559.89
"Aldonça Osório","Crédito",562.18
"Fiona Nóbrega","Crédito",563.28
"Natacha Vásquez","Crédito",568.17
"Tarrataca Thomé","Crédito",568.44
"Sebastião Jaguaribe","Crédito",571.37
"Eugénio Góis","Crédito",572.43
"Albino Seixas","Crédito",574.89
"Zita Caneira","Crédito",575.52
"Brígida Aveiro","Crédito",575.82
"Teodoro Almeyda","Crédito",575.98
"Cosperranho Carreiro","Crédito",577.97
"Sabino Tévez","Crédito",579.37
"Alexandre Carneiro","Crédito",580.98
"Luana Junqueira","Crédito",581.43
"Marcos Simas","Crédito",583.57
"Emílio Vega","Crédito",589.50
"Virgílio Alencar","Crédito",590.86
"Hipólito Velasco","Crédito",595.40
"Aires Falcão","Crédito",599.96
"Verónica Anlicoara","Crédito",603.73
"Frederica Azevedo","Crédito",604.26
"Remo Avelar","Crédito",609.29
"Cleusa Rabello","Crédito",610.07
"Palmira Neiva","Crédito",612.86
"Marcos Travassos","Crédito",613.76
"Leonir Cyrne","Crédito",615.70
"Valdeci Pirajá","Crédito",615.82
"Carlos Cairu","Crédito",620.70
"Ivete Pardo","Crédito",621.15
"Hugo Silveira dos Açores","Crédito",622.74
"Floripes Vargas","Crédito",625.46
"Mécia Soto","Crédito",625.93
"Anita Alcaide","Crédito",627.87
"Gregório Pimienta","Crédito",629.85
"Romano Festas","Crédito",632.95
"Bernardete Frota","Crédito",634.60
"Hélia Espírito Santo","Crédito",635.38
"Zuleica Larangeira","Crédito",641.04
"Natividade Maior","Crédito",641.28
"Romano Mena","Crédito",641.81
"Ubaldo Cordero","Crédito",643.58
"Quitério Galvão","Crédito",645.20
"Laurinda Ferraço","Crédito",645.23
"Renan Grande","Crédito",645.84
"Edgar Gallindo","Crédito",646.84
"Alzira Semedo","Crédito",647.94
"Ricardo Garcés","Crédito",650.42
"Marlene Pirajá","Crédito",650.86
"Paulina Quiroga","Crédito",652.80
"Alice Corte-Real","Crédito",652.81
"Sara Ferrón","Crédito",656.09
"Lavínia Portella","Crédito",657.13
"Clarindo Mendonça","Crédito",660.10
"Gaudêncio Tavares","Crédito",660.75
"Guilherme Sacadura","Crédito",661.73
"Edite Guaraná","Crédito",663.30
"Márcia Caneira","Crédito",663.51
"Vanda Viegas","Crédito",664.51
"Gonçalo Jesus","Crédito",668.75
"Emídio Veríssimo","Crédito",669.99
"Inês Carvalhais","Crédito",673.14
"Nicolas Távora","Crédito",673.27
"Veríssimo Sobreira","Crédito",674.71
"Natália Bezerra","Crédito",675.46
"Roberta Guerrero","Crédito",676.18
"Luís Amaral","Crédito",677.55
"Célia Rufino","Crédito",680.69
"Vasco Fuentes","Crédito",681.81
"Gaudêncio Diniz","Crédito",682.78
"Eva Cunha","Crédito",684.65
"Bernardete Casquero","Crédito",684.74
"Odete Taborda","Crédito",687.28
"Almor Camello","Crédito",692.75
"Crispim Quiroga","Crédito",695.62
"Zulmira Toledo","Crédito",697.06
"Sandra Silveira","Crédito",697.18
"Ismael Valverde","Crédito",697.57
"Luís Rivas","Crédito",704.78
"Tália Guedelha","Crédito",708.71
"Aniana Faia","Crédito",709.88
"Rudá Blanco","Crédito",713.36
"Beatriz Oleiro","Crédito",715.86
"Flávio Teles","Crédito",717.41
"Patrícia Meira","Crédito",717.64
"Itiberê Márquez","Crédito",720.35
"Rômulo   Piñero","Crédito",724.62
"Paraguaçu Carijó","Crédito",726.26
"Denise Bogalho","Crédito",727.64
"Poliana Flores","Crédito",728.78
"Jandira Castaño","Crédito",729.95
"Ildefonso Castellano","Crédito",730.48
"Jacir Félix","Crédito",734.68
"Dirceu Peláez","Crédito",735.01
"Flor Leite","Crédito",736.25
"Flávio Villas Boas","Crédito",742.85
"Zidane Faro","Crédito",742.94
"Laís Belchiorinho","Crédito",743.45
"Caím Quintão","Crédito",743.51
"Minervina Blanco","Crédito",743.80
"Belchior Tomé","Crédito",744.20
"Amália Soeiro","Crédito",747.90
"Sebastião Guimaraes","Crédito",748.43
"Estêvão Mattos","Crédito",748.88
"Minervina Leal","Crédito",750.58
"Cláudio Amorín","Crédito",751.62
"Eudes Matos","Crédito",751.80
"Quirina Colares","Crédito",753.43
"Paulina Quiroga","Crédito",760.17
"Zoe Valentín","Crédito",763.12
"Ruca Boaventura","Crédito",763.36
"Flamínia Valentín","Crédito",770.89
"Délia Valladares","Crédito",777.35
"Pedro Castelo Branco","Crédito",784.65
"Damião Robalo","Crédito",786.70
"Levindo Duarte","Crédito",788.29
"Agostinho Estévez","Crédito",789.70
"Sabrina SantAnna","Crédito",791.05
"Elba Simão","Crédito",798.39
"Denise Bogalho","Crédito",800.72
"Teresina Cervera","Crédito",802.02
"Burtira Franca","Crédito",802.76
"Luís Rivas","Crédito",804.94
"Políbio Campelo","Crédito",805.85
"Juliano Rodrigues","Crédito",806.75
"Adélia Sobral","Crédito",814.03
"Artur Olaio","Crédito",814.98
"Mara Vilar","Crédito",815.71
"Romano Mirandela","Crédito",815.80
"Camila Paranaguá","Crédito",815.81
"Deolindo Motta","Crédito",817.76
"Sidônio   Mena","Crédito",818.11
"Afonso Bahía","Crédito",820.76
"Romano Mena","Crédito",821.30
"Mónica Fialho","Crédito",822.66
"Aurélia Noronha","Crédito",826.05
"Mariana Albuquerque","Crédito",827.00
"Débora Palhares","Crédito",829.09
"Quirino Sousa do Prado","Crédito",835.21
"Ivete Pardo","Crédito",837.37
"Casimiro Granjeia","Crédito",843.78
"Benedita Pacheco","Crédito",844.38
"Otávio Regueira","Crédito",844.89
"Boaventura Ataí","Crédito",845.42
"Juçara Cabeça de Vaca","Crédito",845.59
"Adérito Pedrozo","Crédito",846.53
"Solange Negromonte","Crédito",848.57
"Zacarias Domínguez","Crédito",852.45
"Timóteo Álvarez","Crédito",855.62
"Nivaldo Ramírez","Crédito",855.98
"Judas Gorjão","Crédito",856.49
"Clementina Gabeira","Crédito",858.30
"Nicolau Barcellos","Crédito",859.65
"Tibúrcio Soeiro","Crédito",859.85
